Key	English
Generic/12 NPC_Sheila_Intro_000_-960425937	G’day there, <petName>.þ
Generic/12 NPC_Sheila_Intro_001_-304816484	The name is <myName>.þ
Generic/12 NPC_Sheila_Intro_002_2136504208	<yes><NPCName> got in contact with me and told me to come check out <IslandName>.þ
Generic/12 NPC_Sheila_Intro_003_1136621488	<thinking>When she told me about all the tucker you can find here, I had to pack my bags and come take a look.þ
Generic/12 NPC_Sheila_Intro_004_1234442374	<glee>I bloody love cooking and eating great food.þ
Generic/12 NPC_Sheila_Intro_005_-321775458	<yes>I hope to try all the wonderful food you can cook here on <IslandName>.
Generic/12 NPC_Sheila_Intro_006_-2082366573	Lovely to meet you, <petName>.þ
Generic/13 NPC_Julia_Intro_000_-342005762	<wave>Oh, hello.
Generic/13 NPC_Julia_Intro_001_-373904764	My name is <myName>.
Generic/13 NPC_Julia_Intro_002_-1180763413	<NPCName> told me about you.
Generic/13 NPC_Julia_Intro_003_-1987926813	He's my big brother.
Generic/13 NPC_Julia_Intro_004_1227908502	<NPCName> told me that your name is <PlayerName>.
Generic/13 NPC_Julia_Intro_005_-172808981	<no>I asked him if you liked bugs and stuff, but he said he didn’t know.þ
Generic/13 NPC_Julia_Intro_006_-1953011906	So anyway, do you like bugs?
Generic/13 NPC_Julia_Intro_007_-222941299	<glee>I really, really love bugs.
Generic/13 NPC_Julia_Intro_008_-1297054754	<NPCName> told me to come visit him here on <IslandName> because there are lots of bugs.
Generic/13 NPC_Julia_Intro_009_-1552206067	And guess what?
Generic/13 NPC_Julia_Intro_010_-1451369792	<pumped>He was right!
Generic/14 NPC_Ghost_Intro_000_1657316191	Ah! Hey there!
Generic/14 NPC_Ghost_Intro_001_312701957	I'm <myName>. I moved into the new house here.
Generic/14 NPC_Ghost_Intro_002_818710158	You're <PlayerName>, right?
Generic/14 NPC_Ghost_Intro_003_1832297057	I heard that you're the one thats been working hard to get this town set up?
Generic/14 NPC_Ghost_Intro_004_-1600818971	Well, thanks for that, <PlayerName>! <glee>
Generic/15 NPC_Villager_Intro_000_1657316191	Ah! Hey there!
Generic/15 NPC_Villager_Intro_001_312701957	I'm <myName>. I moved into the new house here.
Generic/15 NPC_Villager_Intro_002_818710158	You're <PlayerName>, right?
Generic/15 NPC_Villager_Intro_003_1832297057	I heard that you're the one thats been working hard to get this town set up?
Generic/15 NPC_Villager_Intro_004_-1600818971	Well, thanks for that, <PlayerName>! <glee>
Generic/6 NPC_Fletch_Intro_000_1850724858	So, <PlayerName> . We made it.
Generic/6 NPC_Fletch_Intro_001_-1908716033	Let's find a place we can start building!
Generic/8 NPC_Sally_Details_Intro_000_-611028823	Oh. My. Goodness.
Generic/8 NPC_Sally_Details_Intro_001_572996291	The things I could do with that hair? 
Generic/8 NPC_Sally_Details_Intro_002_-1957454464	Magic. <pumped>
Generic/8 NPC_Sally_Details_Intro_003_-980894926	Oh, sorry. I'm <myName>.
Generic/8 NPC_Sally_Details_Intro_004_740202000	If you're getting tired of that hairstyle, or the colour?
Generic/8 NPC_Sally_Details_Intro_005_-1185511548	I can try my best to change it for you. <shy>
Generic/AcceptDog_Intro_000_-147787443	Oh, so you placed the <itemName>?
Generic/AcceptDog_Intro_001_-1989406283	What kind of dog would you like?
Generic/AcceptDog_Option_000_1332309979	A fancy boy!
Generic/AcceptDog_Option_001_-1822715797	A good boy!
Generic/AcceptDog_Option_002_1974638204	A little boy!
Generic/AcceptDog_Option_003_2097276319	A loyal boy!
Generic/AcceptDog_Response_000_000_1232454629	Great. Lets give them a name, okay?
Generic/AcceptDog_Response_001_000_1232454629	Great. Lets give them a name, okay?
Generic/AcceptDog_Response_002_000_1232454629	Great. Lets give them a name, okay?
Generic/AcceptDog_Response_003_000_1232454629	Great. Lets give them a name, okay?
Generic/AgreeToMakeTech_Intro_000_-210546769	þExcellent.
Generic/AgreeToMakeTech_Intro_001_1969418092	<proud>I will begin right away.
Generic/AgreeToMakeTech_Intro_002_-1049060912	<yes>It will probably take all night, but I assure you, it will be ready by tomorrow.
Generic/AgreeToMakeTech_Intro_003_2000279374	Now, if you do not mind, I have work to do.
Generic/AtWorkChat_Intro_000_1540723382	Oh, what did you want to chat about?
Generic/AtWorkChat_Response_002_000_-242599561	Oh, alright then.
Generic/Blueprint_Hand_Intro_000_604247592	I can't learn anything new from this...
Generic/BuildTeleporterRequest_Intro_000_2128753632	<yes><PlayerName>, I see you have been repairing the Tele-Towers around the island.
Generic/BuildTeleporterRequest_Intro_001_1405810327	<thinking>To be honest, I did not think you had the know-how to even understand what they were intended for…
Generic/BuildTeleporterRequest_Intro_002_-34697312	<yes>Regardless, I have come up with an idea to build a <itemName> that we could place wherever we want.
Generic/BuildTeleporterRequest_Intro_003_-491501579	<thinking>Now adding too many would most likely disrupt the Tele-Network.
Generic/BuildTeleporterRequest_Intro_004_510287240	<yes>So I think we will only be able to build one.
Generic/BuildTeleporterRequest_Intro_005_-1627549334	I have spoken to <NPCName> and she has agreed to add it to the available deeds.
Generic/BuildTownOfficeAccepted_Intro_000_2080560024	<shock>Oh, <PlayerName>!
Generic/BuildTownOfficeAccepted_Intro_001_-359233016	I wanted to let you know that <IslandName> has been cleared to build 3 additional buildings.þ
Generic/BuildTownOfficeAccepted_Intro_002_-248603407	<pumped>These buildings are additional houses!þ
Generic/BuildTownOfficeAccepted_Intro_003_-23336819	<thinking>I’ve been told we can use them for whatever purpose we want.þ
Generic/BuildTownOfficeAccepted_Intro_004_1212924666	<glee>I’ll let you decide whether the new house is storage, a display home or a place for a friend to stay when they come to visit.þ
Generic/BuildTownOfficeAccepted_Intro_005_797106669	<yes>We’re allowed to have three total here on <IslandName>.
Generic/BuildTownOfficeAccepted_Intro_006_-1388194236	So come and ask me about the deeds when you want to build one!
Generic/BuildTownOfficeComplete_Intro_000_-1544073661	Oh, and thanks for placing the <itemName>. You're a good friend, <PlayerName>. <glee>
Generic/BuildTownOfficeComplete_Intro_000_169551321	Great work! We'll have our town bustling in no time.
Generic/BuildTownOfficeComplete_Intro_000_-714852998	<glee>Oh, and thanks for placing the <itemName>.
Generic/BuildTownOfficeComplete_Intro_001_2098106579	You're a good friend, <PlayerName>.
Generic/BuildTownOfficeComplete_Intro_001_-734451789	Here is a deed for a Market Place. This will be a place for visitors to set up their home or shop while they stay here.
Generic/BuildTownOfficeComplete_Intro_002_-1787998775	It might be a good idea to visit their tents and say hello!
Generic/BuildTownOfficeComplete_Intro_003_566251941	If you give them enough business, and maybe do a couple of odd jobs for them, they might move here permanently!
Generic/BuildTownOfficeComplete_Intro_004_2002099736	Once the post office is built, we can have a look at some more deeds to place, okay?
Generic/BuildTownOfficeComplete_Intro_005_-2069547865	I'm looking forward to seeing more people move here!
Generic/BuilldTownOfficeRequest_Intro_000_-1962561301	Oh, <PlayerName>.
Generic/BuilldTownOfficeRequest_Intro_000_620876814	Hey <PlayerName> .
Generic/BuilldTownOfficeRequest_Intro_000_-747642734	Hey <PlayerName>.
Generic/BuilldTownOfficeRequest_Intro_001_1088913912	<glee>I, like, have a gift for you.
Generic/BuilldTownOfficeRequest_Intro_001_-1649744051	I've had an idea for something <IslandName> could really use!
Generic/BuilldTownOfficeRequest_Intro_001_282348627	Lets start building our town!
Generic/BuilldTownOfficeRequest_Intro_002_-1088941521	Take this <itemName>.
Generic/BuilldTownOfficeRequest_Intro_002_-1686179400	We're going to need just the basic to begin with.
Generic/BuilldTownOfficeRequest_Intro_002_96655091	It's my <itemName>.
Generic/BuilldTownOfficeRequest_Intro_003_-1147237375	<proud>I thought people could maybe put things they don't want in here.
Generic/BuilldTownOfficeRequest_Intro_003_5671077	Are you ready?
Generic/BuilldTownOfficeRequest_Intro_003_-962141914	<shy>I've been adding information to it, like, my whole life.
Generic/BuilldTownOfficeRequest_Intro_004_-1475224751	<thinking>You could probably use it to get some infomation on any plants you are growing.
Generic/BuilldTownOfficeRequest_Intro_004_-74488930	<yes>I will clear it out on Thursdays.
Generic/BuilldTownOfficeRequest_Intro_005_-1364099555	<yes>Oh, don't worry about me, I think you'll, like, get more use out of it to be honest.
Generic/BuilldTownOfficeRequest_Intro_005_39466413	<shocked>What am I doing with the stuff?
Generic/BuilldTownOfficeRequest_Intro_006_-199127324	<shy>I'm going to recycle it...
Generic/BuilldTownOfficeRequest_Intro_006_-568848218	<haha>Anyway, I've got all the info up here!
Generic/BuilldTownOfficeRequest_Intro_007_1099993286	<glee>Anyway, if you could place it down somewhere, that would be great.
Generic/BuilldTownOfficeRequest_Intro_008_-786666232	<yes>Be sure to check it every so often.
Generic/BuilldTownOfficeRequest_Intro_009_1854160006	<yes>Anything you find in it is up for grabs, so feel free to take it!
Generic/BuilldTownOfficeRequest_Option_000_-1606942539	I'm ready!
Generic/BuilldTownOfficeRequest_Option_001_-69965705	Not yet.
Generic/BuilldTownOfficeRequest_Response_000_000_808411356	Okay! I'm going to get you to place some land deeds.
Generic/BuilldTownOfficeRequest_Response_000_001_-770532669	These deeds will show people where they can build their houses or businesses.
Generic/BuilldTownOfficeRequest_Response_000_002_-1762158164	Use this Axe to clear the land where you want to place the deed.
Generic/BuilldTownOfficeRequest_Response_000_003_-970673915	Land deeds can only be placed on clear and levelled land.
Generic/BuilldTownOfficeRequest_Response_000_004_1815570903	Come back and talk to me once you have placed the deed.
Generic/BuilldTownOfficeRequest_Response_001_000_1483587720	Not a problem! I'll let you have a look around for now.
Generic/BuilldTownOfficeRequest_Response_001_001_1950401688	Have a look around, and then come back when you're ready.
Generic/BuilldTownOfficeRequest_Response_001_002_-1936828151	Just be sure it's before night time! We don't want to be setting up in the dark.
Generic/Completed_Intro_000_1235116400	Well done <PlayerName>.
Generic/Completed_Intro_000_-1962561300	Oh, <PlayerName>!
Generic/Completed_Intro_001_-1733357639	<IslandName> is growing very nicely.
Generic/Completed_Intro_001_233960376	You have acquired 10 <itemName>.
Generic/Completed_Intro_002_1679263794	With our current population, <SouthCity> has offically recognised <IslandName> as a settlement.
Generic/Completed_Intro_002_-750710210	<no>I did not think this was possible.
Generic/Completed_Intro_003_1263283209	<yes>I am impressed.þ
Generic/Completed_Intro_003_-1273784858	That means we can upgrade the base tent into a real Town Hall.
Generic/Completed_Intro_004_1158336108	<proud>I'll tell you what, I'll cover the costs myself.
Generic/Completed_Intro_004_1528062265	Now, if you would allow me to study the 10 <itemName>.þ
Generic/Completed_Intro_005_-1090788033	If I could ask you to gather items required for the Town Hall.
Generic/Completed_Intro_005_1204797659	<thinking>….þ
Generic/Completed_Intro_006_729021287	<yes>I've put a Deposit Box out the front of the Base Tent.
Generic/Completed_Intro_006_741868321	<thinking>Hmmm…
Generic/Completed_Intro_007_-1867146238	<shocked>Yes!þ
Generic/Completed_Intro_007_-690945564	<shy>I'll tell you what, you've really changed my life for the better, <PlayerName>.
Generic/Completed_Intro_008_1135824253	<glee>I believe there is a way to process this into a usable material.þ
Generic/Completed_Intro_008_-1240599561	<yes>Infact, everyone here on <IslandName> owes it all to you!
Generic/Completed_Intro_009_1026636179	<yes>It's not much, but we wanted to get you a gift.
Generic/Completed_Intro_009_-1119247744	Studying this <itemName> has given me an idea for a new invention.
Generic/Completed_Intro_010_-117808786	<yes>Think of it as a symbol of gratitude from everyone here on <IslandName>.
Generic/Completed_Intro_010_-1184179880	Please, <PlayerName>, come talk to me if you want me to craft you something new!
Generic/CompleteQuest_Intro_000_-1102451121	Ah, goodmorning <PlayerName>!
Generic/CompleteQuest_Intro_000_-1131307374	Oh, you've found something to eat!
Generic/CompleteQuest_Intro_000_-1832589873	So, this is where you decided to build, huh?
Generic/CompleteQuest_Intro_000_-1833718625	Oh! So you bought the <itemName>! þ
Generic/CompleteQuest_Intro_000_-325453601	So, we're all set for visitors, huh? 
Generic/CompleteQuest_Intro_000_-510183520	You found a good place for your tent?
Generic/CompleteQuest_Intro_000_879125259	<glee>Well done, <PlayerName>.
Generic/CompleteQuest_Intro_000_947322209	Well done, <PlayerName>!
Generic/CompleteQuest_Intro_001_-1111562245	<glee>It’s absolutely perfect! Our new home here on <IslandName>!
Generic/CompleteQuest_Intro_001_1204838453	Did you happen to see that <NPCName> has set up his tent at the Visitor's Site?
Generic/CompleteQuest_Intro_001_-1322458036	<glee>I knew I could count on you to find everything we need!
Generic/CompleteQuest_Intro_001_244996661	Well done <PlayerName>! 
Generic/CompleteQuest_Intro_001_296124578	<yes>Eating food will help keep your energy up!
Generic/CompleteQuest_Intro_001_761101816	<yes>You have proven yourself invaluable once again!
Generic/CompleteQuest_Intro_001_-824658144	<shy>I know it's not much, but I hope you like your new home!
Generic/CompleteQuest_Intro_001_947322209	Well done, <PlayerName>!
Generic/CompleteQuest_Intro_002_-1111875609	<pumped>We’ve only been here for a little while, but you’ve achieved so much already!
Generic/CompleteQuest_Intro_002_-1427252874	Don't you think having <NPCName> here is great?
Generic/CompleteQuest_Intro_002_1484329717	Here is the recipe for a <itemName>.
Generic/CompleteQuest_Intro_002_1623889164	<shocked>You're really starting to carry a lot of stuff around!
Generic/CompleteQuest_Intro_002_1928888426	Thank you so much for setting up the Base Tent.<yes>
Generic/CompleteQuest_Intro_002_-2133401325	<yes>I told him all about you and how you’ve helped us get started here.
Generic/CompleteQuest_Intro_002_-717488053	I'll tell you what, you've got the "spark", <PlayerName>.
Generic/CompleteQuest_Intro_002_743565677	Here is a recipe for a <itemName>.
Generic/CompleteQuest_Intro_003_1072240551	Now why don't you try crafting the <itemName> at the crafting table in the base tent?þ
Generic/CompleteQuest_Intro_003_1079006500	<yes>You see, most people back in <SouthCity> are scared of leaving.
Generic/CompleteQuest_Intro_003_1725518075	<yes>I'll tell you what, I'll teach you how to craft a <itemName>.
Generic/CompleteQuest_Intro_003_-1882551228	Oh, and guess what? I actually have a <itemName> for you too! <haha>
Generic/CompleteQuest_Intro_003_1942131548	<haha>He sounded impressed!
Generic/CompleteQuest_Intro_003_605077022	<thinking>If only we could  convince <NPCName> to move here permanently...
Generic/CompleteQuest_Intro_003_760758615	<yes>You remind me of my father. He was born right here on <IslandName>, you know?
Generic/CompleteQuest_Intro_003_-962788963	I found these stones earlier so you can use these to craft your <itemName>.
Generic/CompleteQuest_Intro_004_-1126047002	<thinking>Hmmmm...
Generic/CompleteQuest_Intro_004_-1376995402	<thinking>There is something about that place that pulls the "spark" out of people...
Generic/CompleteQuest_Intro_004_1532535249	<shy>You'll have to find some wood yourself though.
Generic/CompleteQuest_Intro_004_-2073826596	John trades all sorts of things back to <SouthCity>.
Generic/CompleteQuest_Intro_004_-2123380490	<yes>Once you've crafted the <itemName>, pop it on the ground outside somewhere.
Generic/CompleteQuest_Intro_004_-2127518162	<yes>You're going to need a recipe for Nails too.
Generic/CompleteQuest_Intro_004_-508311659	<shy>I know it's not much but it will be a place you can call home!
Generic/CompleteQuest_Intro_004_-852805276	<proud>He was a true blue Adventurer through and through.
Generic/CompleteQuest_Intro_005_-1416430934	<no>But I'll tell you what, we certainly aren't the first to leave!
Generic/CompleteQuest_Intro_005_-1497776502	I reckon nearly anything you can find on this island will be valuable to him.
Generic/CompleteQuest_Intro_005_1509954919	Then, just place the ore inside of it.
Generic/CompleteQuest_Intro_005_-1914532031	Feel free to use the crafting table in the Base Tent to craft a <itemName>.
Generic/CompleteQuest_Intro_005_2000421095	<proud>I'll tell you what, <IslandName> is well on it's way to being a great settlement again!
Generic/CompleteQuest_Intro_005_658971535	Now, there is plenty of room to spread out here on <IslandName>.
Generic/CompleteQuest_Intro_005_-751055028	<haha>Well, let's worry about getting the materials needed for a permanent building first!
Generic/CompleteQuest_Intro_005_995654552	He loved doing new things and keeping track of all his milestones in his <itemName>.
Generic/CompleteQuest_Intro_006_-1170521852	<sigh>I wanted to come here and try and meet those milestones myself.
Generic/CompleteQuest_Intro_006_1572877707	Take your time, <PlayerName>.
Generic/CompleteQuest_Intro_006_1653916789	<yes>With a furnace and a table saw we can start thinking about building more permanent structures.
Generic/CompleteQuest_Intro_006_1845923844	Have you ever heard of the traveling trader, <NPCName>?
Generic/CompleteQuest_Intro_006_326360648	So please take your time to place your <itemName>.
Generic/CompleteQuest_Intro_006_-382650368	He’ll buy fruit, fish, bugs and even rocks! <yes>
Generic/CompleteQuest_Intro_006_-501991591	It will take a little while to do its thing, so feel free to do some other activities while it's melting.
Generic/CompleteQuest_Intro_006_567658910	The <itemName> is a great first step!
Generic/CompleteQuest_Intro_007_-1195301293	<yes>You’ll probably be visiting the Base Tent a fair bit.
Generic/CompleteQuest_Intro_007_1206714432	Bring me the Tin Bar when you're ready, okay?
Generic/CompleteQuest_Intro_007_1592949634	<NPCName> also sells a lot of useful tools.
Generic/CompleteQuest_Intro_007_17667974	For now, you can have a break.
Generic/CompleteQuest_Intro_007_1830237417	<no>But I’m getting a bit long in the tooth, <PlayerName>.
Generic/CompleteQuest_Intro_007_598148531	When you are done, come and have a chat with me.
Generic/CompleteQuest_Intro_007_622314739	I'll tell you what, we should try and get <NPCName> to set up a real shop here!
Generic/CompleteQuest_Intro_008_-1216962832	<thinking>So keep that in mind while you are looking for a spot to claim as your own.
Generic/CompleteQuest_Intro_008_-1261787410	<glee>I have a gift for you!
Generic/CompleteQuest_Intro_008_-1323429580	<shy>Please, I want you to take his <itemName>.
Generic/CompleteQuest_Intro_008_-1481314828	He’s got mining equipment, logging tools and even some fishing equipment.
Generic/CompleteQuest_Intro_008_1924288172	<yes>Come back and talk to me when you are ready.
Generic/CompleteQuest_Intro_009_121286966	<yes>Please keep good care of it.
Generic/CompleteQuest_Intro_009_-1842020870	I’ll be inside the Base Tent getting things ready. 
Generic/CompleteQuest_Intro_009_805881827	<thinking>Although, probably can't sell you a lot of tools until you have all your <Licences> in order.
Generic/CompleteQuest_Intro_010_1790072338	You know about <Licences>, right?
Generic/CompleteQuest_Intro_010_1859816844	Come and speak to me once you’ve placed your <itemName>.
Generic/CompleteQuest_Intro_010_-1916541437	This is your adventure now.
Generic/CompleteQuest_Option_000_-1670693026	Let's do it!
Generic/CompleteQuest_Option_000_-1910102940	No I don’t.
Generic/CompleteQuest_Option_000_2051917353	No I haven't.
Generic/CompleteQuest_Option_001_-1585392778	How do we do that?
Generic/CompleteQuest_Option_001_543507182	Of course I have!
Generic/CompleteQuest_Option_001_618453623	Yes I do.
Generic/CompleteQuest_Response_000_000_-1332368638	That's the spirit, <PlayerName>!
Generic/CompleteQuest_Response_000_000_-1685813350	<yes>I'll tell you what, he’s a bloody legend!
Generic/CompleteQuest_Response_000_000_2033315250	<Licences> are an old <SouthCity> idea!
Generic/CompleteQuest_Response_000_001_-1271428549	<yes>I reckon if we spend a bit of money at his tent, he'll see it's worth while...
Generic/CompleteQuest_Response_000_001_-479982426	I’ll tell you what, you didn’t need a <Licence> for anything back when I was growing up!
Generic/CompleteQuest_Response_000_001_770855502	Rumour is he traded a paperclip for a steam boat once!
Generic/CompleteQuest_Response_000_002_-389451587	<no>But these days, you need a <Licence> for everything.
Generic/CompleteQuest_Response_000_002_536793497	<proud>Trading is in his very blood!
Generic/CompleteQuest_Response_000_002_-884505517	<yes>Oh, and we should show him how friendly people are around here!
Generic/CompleteQuest_Response_000_003_1983539231	<NPCName> got in contact with me before we left <SouthCity>.
Generic/CompleteQuest_Response_000_003_785886203	Luckily I’m actually an accredited <Licence> Giver! <proud>
Generic/CompleteQuest_Response_000_003_-975243381	Why don't you ask <NPCName> if he has anything he needs done?
Generic/CompleteQuest_Response_000_004_-1035654162	<pumped>He's interested in visiting with his shop here!
Generic/CompleteQuest_Response_000_004_2050016583	<haha>If we can prove to him that <IslandName> is a great place to move, I'm sure he'll ask to live here for good!
Generic/CompleteQuest_Response_000_004_-641509215	If you want to apply for a <Licence> come and talk to me. <yes>
Generic/CompleteQuest_Response_000_005_-1788102040	<no>I'll tell you what, we can't miss an opportunity like this!
Generic/CompleteQuest_Response_000_005_2121549841	You’ll have to spend some <PermitPoints> to get them, but if you keep doing milestones you’ll make enough in no time.
Generic/CompleteQuest_Response_000_006_1001518262	As you get better at doing certain tasks, new <Licence> levels will open up too.
Generic/CompleteQuest_Response_000_006_-1482866176	<yes>I reckon we get this <itemName> ready for him.
Generic/CompleteQuest_Response_000_007_-1708111722	<yes>That way we'll have a place ready for any visitors who come to <IslandName>.
Generic/CompleteQuest_Response_000_007_-2116564043	Now, let’s see if there is a <Licence> you can apply for right now...
Generic/CompleteQuest_Response_000_008_1532368872	I’ll let you decide where the best place for this <itemName> is.
Generic/CompleteQuest_Response_000_009_34737173	<haha>Just be sure it's closeby!
Generic/CompleteQuest_Response_000_010_-260693956	<glee>We want visitors to feel like part of the <IslandName> community while they are here!
Generic/CompleteQuest_Response_000_011_-1684863497	Who knows, maybe we can convince him to set up a permanent shop here!
Generic/CompleteQuest_Response_000_012_341734295	<yes>Be sure to talk to me once you have placed the <itemName>.
Generic/CompleteQuest_Response_001_000_1304920068	<haha>Who hasn't!
Generic/CompleteQuest_Response_001_000_167561329	That's great!
Generic/CompleteQuest_Response_001_000_287986152	<thinking>Hmmmm....
Generic/CompleteQuest_Response_001_001_-1213484090	<pumped>He's a bloody legend!
Generic/CompleteQuest_Response_001_001_-479982426	I’ll tell you what, you didn’t need a <Licence> for anything back when I was growing up!
Generic/CompleteQuest_Response_001_001_-525035430	<yes>I reckon if we spend a bit of money at his shop, he'll see it's worth while...
Generic/CompleteQuest_Response_001_002_-389451587	<no>But these days, you need a <Licence> for everything.
Generic/CompleteQuest_Response_001_002_536793497	<proud>Trading is in his very blood!
Generic/CompleteQuest_Response_001_002_-884505517	<yes>Oh, and we should show him how friendly people are around here!
